,longitude,latitude,cluster
1,4.83375087159,45.767413713,1
2,4.82694629156,45.7609814578,2
3,4.82255781305,45.7622761905,3
4,4.8321355973,45.7578155106,4
5,4.82899372873,45.7592265435,5
6,4.83589436153,45.7679718076,6
7,4.83465402627,45.7601758995,7
8,4.82762921186,45.7638105568,8
9,4.83107895501,45.7604034833,9
10,4.83537115385,45.76407,10
11,4.82923325083,45.7689488449,11
13,4.8319604927,45.7710228102,13
14,4.8305519285,45.727809031,14
15,4.83361916747,45.7648180058,15
16,4.83982768421,45.7567021053,16
17,4.83373315508,45.7625090909,17
19,4.87260215909,45.7810056818,19
20,4.80642399541,45.7742686567,20
22,4.82609241706,45.7581646919,22
23,4.81983622975,45.7598821797,23
24,4.82995595054,45.7668964451,24
25,4.85365278246,45.7848010118,25
26,4.83505509499,45.7711658031,26
27,4.83603709677,45.7659139785,27
28,4.87586865672,45.7679981343,28
29,4.86066382536,45.784014553,29
30,4.85169854167,45.7731354167,30
31,4.85584769874,45.7738849372,31
32,4.85723397436,45.7614594017,32
33,4.87824423077,45.7791057692,33
35,4.85518868421,45.7769421053,35
36,4.85072619048,45.7629365079,36
37,4.8318201087,45.7739157609,37
38,4.83506141304,45.7745108696,38
39,4.82027933884,45.7419944904,39
40,4.8256286533,45.7488338109,40
41,4.84008834356,45.7589233129,41
42,4.82511353846,45.7296,42
43,4.84535864198,45.7771790123,43
44,4.87081759259,45.7450061728,44
45,4.81526180124,45.7418043478,45
46,4.84047538941,45.7608691589,46
47,4.82728449367,45.7501867089,47
48,4.85335307443,45.7613786408,48
49,4.85919805195,45.7607922078,49
50,4.855675,45.7819577922,50
51,4.84046091205,45.7631172638,51
53,4.82741320132,45.7744884488,53
54,4.86900463576,45.7844701987,54
55,4.82616488294,45.771006689,55
58,4.81463368421,45.7400561404,58
59,4.82824666667,45.7517157895,59
60,4.84072416357,45.7658364312,60
61,4.81700795455,45.7412651515,61
62,4.8411796875,45.7685976563,62
63,4.87492382813,45.7836054687,63
64,4.87950699588,45.7667119342,64
65,4.82150941704,45.7576143498,65
66,4.8522438914,45.7778687783,66
70,4.8471450237,45.7602511848,70
71,4.83864238095,45.735952381,71
72,4.850384689,45.7810095694,72
73,4.83655,45.7518786408,73
74,4.82997142857,45.7732955665,74
75,4.86529402985,45.7813383085,75
76,4.8150142132,45.7371624365,76
77,4.82701116751,45.7536395939,77
80,4.82335454545,45.7237165775,80
81,4.83439037433,45.7333048128,81
82,4.80289784946,45.7490053763,82
83,4.8313027027,45.7540918919,83
84,4.84348076923,45.7518736264,84
85,4.80882430939,45.772038674,85
86,4.82931933702,45.7537624309,86
87,4.84178531073,45.7454067797,87
88,4.85294770115,45.7747988506,88
89,4.81736111111,45.7679382716,89
90,4.85685555556,45.7655185185,90
92,4.82293057325,45.7682547771,92
93,4.84347430556,45.7550277778,93
95,4.8553,45.736,95
96,4.84876595745,45.7800921986,96
98,4.82556615385,45.7210076923,98
99,4.82128217054,45.7676666667,99
100,4.8379379845,45.7540542636,100
101,4.85743553719,45.7850495868,101
102,4.82049666667,45.7510083333,102
103,4.81573135593,45.7285338983,103
104,4.81857008547,45.7371880342,104
106,4.82758859649,45.7787982456,106
107,4.87596017699,45.7202654867,107
108,4.87691785714,45.7836785714,108
109,4.83155446429,45.7808303571,109
110,4.86478181818,45.7381545455,110
111,4.85920918367,45.7671938776,111
113,4.840665625,45.7540833333,113
114,4.85395638298,45.7589361702,114
117,4.88915108696,45.753923913,117
118,4.82339891304,45.7660869565,118
119,4.84505555556,45.7505555556,119
120,4.83415888889,45.7531888889,120
121,4.83324606742,45.7481910112,121
122,4.85894719101,45.754988764,122
125,4.83232272727,45.7308181818,125
127,4.81088571429,45.7160119048,127
129,4.8786925,45.7831375,129
130,4.85214736842,45.7590131579,130
132,4.83205616438,45.7240684932,132
133,4.82147916667,45.7552083333,133
135,4.86454647887,45.7497887324,135
137,4.88118115942,45.7419855072,137
139,4.84727826087,45.7561449275,139
141,4.85353529412,45.75175,141
142,4.85287058824,45.7561323529,142
143,4.82886911765,45.7258970588,143
144,4.86106060606,45.7698333333,144
146,4.8227984375,45.74525,146
153,4.88840517241,45.7497931034,153
154,4.83279827586,45.7340172414,154
156,4.82272807018,45.7719824561,156
158,4.86604444444,45.7568333333,158
159,4.81602777778,45.7642592593,159
162,4.88604038462,45.7540576923,162
165,4.86722708333,45.7640208333,165
166,4.88196458333,45.7847916667,166
174,4.87389714286,45.7340571429,174
175,4.81568823529,45.732,175
178,4.86153333333,45.738,178
180,4.81183939394,45.7708181818,180
181,4.84205333333,45.775,181
182,4.86347142857,45.7791785714,182
183,4.84801333333,45.7498666667,183
184,4.81626923077,45.7516153846,184
185,4.8087,45.752,185
186,4.86649090909,45.7520909091,186
188,4.807,45.741,188
